№,YouTube ID,Исходное название,Ссылка,Вкладка,Текущие плейлисты,Основной плейлист,Порядок в плейлисте,Дополнительные плейлисты,Визуальная рубрика,Акцент HEX,Язык разработки,Формат,Номер урока,Текст обложки — предложение,Статус обложки,Что проверить,Примечания,Готовый файл,Основание классификации
61,XoFGTU8Kovk,MOKO - разработка электроники и программного обеспечения.,https://www.youtube.com/watch?v=XoFGTU8Kovk,Видео,МОКО - Промо ролики,"MOKO — компания, выставки и интервью",3,,Компания · События,#ED6262,Не подтверждён / не применимо,Видео,,Инженерия MOKO,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
62,7YQ0j-HUuOs,Анонс второй версии MOKO SE,https://www.youtube.com/watch?v=7YQ0j-HUuOs,Видео,MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,16,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,MOKO SE / версия 2,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
63,VoaZTXhmnmM,MONITOR BALL. MALANKA. ENGLISH VERSION.,https://www.youtube.com/watch?v=VoaZTXhmnmM,Видео,МОКО - Промо ролики,Электроника и оборудование — проекты MOKO,6,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,MONITOR BALL / EN,В очереди,Тематика по метаданным; содержание не просмотрено полностью,"Русская и английская версии одного проекта; обе сохраняются, английская с меткой EN.",,"Название, текущие плейлисты и исходная обложка"
64,6s3BE6TtCD4,Monitor Ball. MALANKA,https://www.youtube.com/watch?v=6s3BE6TtCD4,Видео,МОКО - Промо ролики,Электроника и оборудование — проекты MOKO,7,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,MONITOR BALL,В очереди,Тематика по метаданным; содержание не просмотрено полностью,"Русская и английская версии одного проекта; обе сохраняются, английская с меткой EN.",,"Название, текущие плейлисты и исходная обложка"
65,xMjkBv8Qa10,Создание своих уникальных кнопок в программе.  Уроки Labview.,https://www.youtube.com/watch?v=xMjkBv8Qa10,Видео,MOKO - Уроки по программированию и не только,"LabVIEW — драйверы, утилиты и плагины",7,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,Свои кнопки,В очереди,,,,Название LabVIEW или логотип LabVIEW на исходной обложке
66,Z8M26IEMpOQ,Пример опции объединение отчетов на базе решения.  Поверка манометров. MOKO SE.,https://www.youtube.com/watch?v=Z8M26IEMpOQ,Видео,MOKO SE - Платформа для автоматизации измерений,"Автоматизация измерений — стенды, испытания и поверка",6,MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,Объединяем отчёты,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
67,9EyE3bgGmZo,SOFTEQ LAB компания сделала нам подарок.,https://www.youtube.com/watch?v=9EyE3bgGmZo,Видео,МОКО - Промо ролики,"MOKO — компания, выставки и интервью",4,,Компания · События,#ED6262,Не подтверждён / не применимо,Видео,,Подарок от SOFTEQ,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
68,4jCy0mh3E9s,Как создать красивую иконку для программы в формате ico,https://www.youtube.com/watch?v=4jCy0mh3E9s,Видео,MOKO - Уроки по программированию и не только,"Разработка ПО — практика, инструменты и стримы",8,,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Видео,,Иконка для программы,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
69,gWQBcpK8X5A,Новый параметр для Тонального Модема. C# .Net.,https://www.youtube.com/watch?v=gWQBcpK8X5A,Видео,MOKO - Уроки по программированию и не только,"Разработка ПО — практика, инструменты и стримы",9,,Разработка · Практика,#FF9A48,C# / .NET,Видео,,Настройка модема,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
70,7DngQ_kX12M,Создаем State Machine для управления очередью. Уроки LabView.,https://www.youtube.com/watch?v=7DngQ_kX12M,Видео,MOKO - Уроки по программированию и не только,"LabVIEW — драйверы, утилиты и плагины",9,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,State Machine,"Готово · новая партия 02, проверить",,,thumbnails/7DngQ_kX12M.jpg,Название LabVIEW или логотип LabVIEW на исходной обложке
71,1CXaEv7QwuE,Не запускается программа сервер на C# .Net. Что делать?,https://www.youtube.com/watch?v=1CXaEv7QwuE,Видео,MOKO - Уроки по программированию и не только,"Разработка ПО — практика, инструменты и стримы",10,,Разработка · Практика,#FF9A48,C# / .NET,Видео,,C# / сервер не запускается,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
72,c1p5m_dTpdo,Управление плагинами написанными на С#  .net и т.д. MOKO SE.,https://www.youtube.com/watch?v=c1p5m_dTpdo,Видео,MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,15,"Разработка ПО — практика, инструменты и стримы",MOKO SE · Инструкции,#55D6C2,C# / .NET,Видео,,Плагины на C#,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
73,5Lm54uJEyL8,Как создать несколько Google дисков на одном компьютере Win 10.,https://www.youtube.com/watch?v=5Lm54uJEyL8,Видео,MOKO - Уроки по программированию и не только,"Разработка ПО — практика, инструменты и стримы",11,,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Видео,,Несколько Google Дисков,В очереди,Актуальность; Тематика по метаданным; содержание не просмотрено полностью,Windows 10 и инструкция по Google Дискам могут быть устаревшими; проверить актуальность.,,"Название, текущие плейлисты и исходная обложка"
74,sv1_km5KX00,Изменение разрешения картинки. MOKO SE.,https://www.youtube.com/watch?v=sv1_km5KX00,Видео,MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,9,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Размер изображений,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
75,xEI929oBzYg,Report TABLE через точку с запятой. MOKO SE.,https://www.youtube.com/watch?v=xEI929oBzYg,Видео,MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,7,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Таблицы в отчёте,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
76,jR89eqIiAGM,Загрузка картинок разных форматов. MOKO SE.,https://www.youtube.com/watch?v=jR89eqIiAGM,Видео,MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,10,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Форматы изображений,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
77,U2Y2vPSSbLE,Создание PRESET для устройства в плагине. Часть 2. Уроки LabView.,https://www.youtube.com/watch?v=U2Y2vPSSbLE,Видео,MOKO - Уроки по программированию и не только,"LabVIEW — драйверы, утилиты и плагины",13,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,PRESET / часть 2,В очереди,,,,Название LabVIEW или логотип LabVIEW на исходной обложке
78,POZUZuiS7cI,Создание PRESET для устройства в плагине. Часть 1. Уроки LabView.,https://www.youtube.com/watch?v=POZUZuiS7cI,Видео,MOKO - Уроки по программированию и не только,"LabVIEW — драйверы, утилиты и плагины",12,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,PRESET / часть 1,В очереди,,,,Название LabVIEW или логотип LabVIEW на исходной обложке
79,lSWbtmhcpfc,Обновление внешней библиотеки LabView на примере JSON. Уроки LabView.,https://www.youtube.com/watch?v=lSWbtmhcpfc,Видео,MOKO - Уроки по программированию и не только,"LabVIEW — драйверы, утилиты и плагины",10,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,Обновляем библиотеку,"Готово · новая партия 02, проверить",,,thumbnails/lSWbtmhcpfc.jpg,Название LabVIEW или логотип LabVIEW на исходной обложке
80,fXtQYcZJ7tA,Создаем новый плагин  используя MOKO ExPlugin. Уроки LabView.,https://www.youtube.com/watch?v=fXtQYcZJ7tA,Видео,MOKO - Уроки по программированию и не только,"LabVIEW — драйверы, утилиты и плагины",11,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,Создаём плагин,В очереди,,,,Название LabVIEW или логотип LabVIEW на исходной обложке
81,T-uG-K0wJdg,Настройки вида лицевой программы. Уроки LabView.,https://www.youtube.com/watch?v=T-uG-K0wJdg,Видео,MOKO - Уроки по программированию и не только,"LabVIEW — драйверы, утилиты и плагины",6,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,Настройка интерфейса,В очереди,,,,Название LabVIEW или логотип LabVIEW на исходной обложке
82,q8obUwFp1m8,Функционал дерева. MOKO SE.,https://www.youtube.com/watch?v=q8obUwFp1m8,Видео,MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,5,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Дерево в MOKO SE,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
83,PwvxyezgN9U,Передвижная установка поверки систем налива нефтепродуктов от партнеров. Продукты и решения MOKO.,https://www.youtube.com/watch?v=PwvxyezgN9U,Видео,MOKO - решения и обзоры,"Автоматизация измерений — стенды, испытания и поверка",7,,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,Поверка систем налива,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
84,0Y3moGLIZbM,Лаборатория под ключ. Лекция.,https://www.youtube.com/watch?v=0Y3moGLIZbM,Видео,MOKO - Презентации и интервью,"Автоматизация измерений — стенды, испытания и поверка",1,,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,Лаборатория под ключ,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
85,rSy3uobcJwU,Интервью CEO МОКО на ежегодной конференции Keysight,https://www.youtube.com/watch?v=rSy3uobcJwU,Видео,MOKO - решения и обзоры; MOKO - СМИ о Нас; MOKO - Презентации и интервью,"MOKO — компания, выставки и интервью",5,,Компания · События,#ED6262,Не подтверждён / не применимо,Видео,,MOKO на Keysight,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
86,zTD8sbNUeGU,"Контроллеры: КУиТ-862, STM32F7. Мобильное приложение телеметрии. Продукты и решения MOKO.",https://www.youtube.com/watch?v=zTD8sbNUeGU,Видео,MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,8,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,КУиТ-862 / телеметрия,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
87,24djPbWsmM8,"Разработка, производство радиоэлектронного оборудования спец. назначения. Продукты и решения MOKO.",https://www.youtube.com/watch?v=24djPbWsmM8,Видео,MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,9,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,Разработка спецоборудования,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
88,GxL-DZFXYQY,Передача с датчика информации на 2API.by для packbel.by. Продукты и решения MOKO.,https://www.youtube.com/watch?v=GxL-DZFXYQY,Видео,MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,10,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,Датчик → 2API.by,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
89,Sz_qOev_6Y0,Поворотное устройство с навесной конструкцией и видеокамерой. Продукты и решения MOKO.,https://www.youtube.com/watch?v=Sz_qOev_6Y0,Видео,MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,11,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,Поворотная видеосистема,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
90,opy_PhgdODo,Стенд водоподготовки в БелГисс. Продукты и решения MOKO.,https://www.youtube.com/watch?v=opy_PhgdODo,Видео,MOKO - решения и обзоры,"Автоматизация измерений — стенды, испытания и поверка",8,,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,Стенд водоподготовки,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
91,t9HsjGb3dFs,Стенд испытания стиральных машин в БелГисс. Продукты и решения MOKO.,https://www.youtube.com/watch?v=t9HsjGb3dFs,Видео,MOKO - решения и обзоры,"Автоматизация измерений — стенды, испытания и поверка",9,,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,Испытания стиральных машин,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
92,m96Fj9w5RGw,Прототип на базе stm32f769. Продукты и решения MOKO.,https://www.youtube.com/watch?v=m96Fj9w5RGw,Видео,MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,12,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,Прототип STM32F769,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
93,69rZmdvcS_8,Промо MOKO. Тестирование Short. #mokose #moko #johnnyrespect,https://www.youtube.com/shorts/69rZmdvcS_8,Shorts,,Медиапроекты MOKO — промо и съёмки,5,,Медиа · Портфолио,#B69AFF,Не подтверждён / не применимо,Shorts,,MOKO / короткое промо,Ожидает вертикального макета,Вертикальный формат; Тематика по метаданным; содержание не просмотрено полностью,Нужен отдельный вертикальный макет; способ применения проверить в текущем интерфейсе YouTube.,,"Название, текущие плейлисты и исходная обложка"
94,IQ2V9DLpqjg,Драйвера на LabView для роботизированной руки Rozum Robotics. Продукты и решения MOKO.,https://www.youtube.com/shorts/IQ2V9DLpqjg,Shorts,MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,13,"Разработка ПО — практика, инструменты и стримы",Практика · Электроника,#55C9FF,LabVIEW,Shorts,,Драйверы роботизированной руки,Ожидает вертикального макета,Вертикальный формат; Тематика по метаданным; содержание не просмотрено полностью,Нужен отдельный вертикальный макет; способ применения проверить в текущем интерфейсе YouTube.,,"Название, текущие плейлисты и исходная обложка"
